data has 1335285 characters, 97 unique.
Epoch 0192 | avg_token_loss: 3.2926 | ppl: 26.91
Epoch 0193 | avg_token_loss: 3.2968 | ppl: 27.03
Epoch 0194 | avg_token_loss: 3.3048 | ppl: 27.24
Epoch 0195 | avg_token_loss: 3.3056 | ppl: 27.27
Epoch 0196 | avg_token_loss: 3.3017 | ppl: 27.16
Epoch 0197 | avg_token_loss: 3.2986 | ppl: 27.08
Epoch 0198 | avg_token_loss: 3.2948 | ppl: 26.97
Epoch 0199 | avg_token_loss: 3.3037 | ppl: 27.21
Epoch 0200 | avg_token_loss: 3.2925 | ppl: 26.91
[sample@epoch 200] B; ea p rlr-t hesnFhtein i ondcnaak M  eatc ten haiJc~tlostnteii r nlniggi o aKu  taqns pi-uA t spd @ei nsk[acn et	le,i.yoprnaoym  oscrtetslf7awot otr ...
Epoch 0201 | avg_token_loss: 3.2932 | ppl: 26.93
Epoch 0202 | avg_token_loss: 3.2984 | ppl: 27.07
Epoch 0203 | avg_token_loss: 3.3002 | ppl: 27.12
Epoch 0204 | avg_token_loss: 3.2914 | ppl: 26.88
Epoch 0205 | avg_token_loss: 3.2920 | ppl: 26.90
Epoch 0206 | avg_token_loss: 3.2896 | ppl: 26.83
Epoch 0207 | avg_token_loss: 3.2938 | ppl: 26.94
Epoch 0208 | avg_token_loss: 3.2887 | ppl: 26.81
Epoch 0209 | avg_token_loss: 3.2925 | ppl: 26.91
Epoch 0210 | avg_token_loss: 3.2947 | ppl: 26.97
Epoch 0211 | avg_token_loss: 3.2892 | ppl: 26.82
Epoch 0212 | avg_token_loss: 3.2908 | ppl: 26.87
Epoch 0213 | avg_token_loss: 3.2931 | ppl: 26.93
Epoch 0214 | avg_token_loss: 3.2891 | ppl: 26.82
Epoch 0215 | avg_token_loss: 3.2976 | ppl: 27.05
Epoch 0216 | avg_token_loss: 3.3009 | ppl: 27.14
Epoch 0217 | avg_token_loss: 3.2862 | ppl: 26.74
Epoch 0218 | avg_token_loss: 3.2998 | ppl: 27.11
Epoch 0219 | avg_token_loss: 3.2962 | ppl: 27.01
Epoch 0220 | avg_token_loss: 3.2910 | ppl: 26.87
[sample@epoch 220] e ta oqcb dM{w  di VTm&iean a-he  e.in}t  ee oi tscgdeo!enorNyfsse- m b cppfSnsa !nAas- ehai}storns nc viag-JIeu r raats lar ,Kr-{ta t ii,mnR ue ungor ...
Epoch 0221 | avg_token_loss: 3.2939 | ppl: 26.95
Epoch 0222 | avg_token_loss: 3.2966 | ppl: 27.02
Epoch 0223 | avg_token_loss: 3.2944 | ppl: 26.96
Epoch 0224 | avg_token_loss: 3.2939 | ppl: 26.95
Epoch 0225 | avg_token_loss: 3.2875 | ppl: 26.78
Epoch 0226 | avg_token_loss: 3.2917 | ppl: 26.89
Epoch 0227 | avg_token_loss: 3.2894 | ppl: 26.83
Epoch 0228 | avg_token_loss: 3.2944 | ppl: 26.96
Epoch 0229 | avg_token_loss: 3.2940 | ppl: 26.95
Epoch 0230 | avg_token_loss: 3.2844 | ppl: 26.69
Epoch 0231 | avg_token_loss: 3.2943 | ppl: 26.96
Epoch 0232 | avg_token_loss: 3.2974 | ppl: 27.04
Epoch 0233 | avg_token_loss: 3.2915 | ppl: 26.88
Epoch 0234 | avg_token_loss: 3.2878 | ppl: 26.78
Epoch 0235 | avg_token_loss: 3.2925 | ppl: 26.91
Epoch 0236 | avg_token_loss: 3.2894 | ppl: 26.83
Epoch 0237 | avg_token_loss: 3.2866 | ppl: 26.75
Epoch 0238 | avg_token_loss: 3.2913 | ppl: 26.88
Epoch 0239 | avg_token_loss: 3.2877 | ppl: 26.78
Epoch 0240 | avg_token_loss: 3.2907 | ppl: 26.86
[sample@epoch 240] Ijg"e nnhu u   Kcah g crt  ea i-a Frhoimi	f brt uW3ffcntwp r t d $  eacppeo ne p WhhpyCnr iiapt cp. cble	s =i  ghii ber ee hoAm n tieat  .o1 tga wnert ...
Epoch 0241 | avg_token_loss: 3.2856 | ppl: 26.72
Epoch 0242 | avg_token_loss: 3.2890 | ppl: 26.82
Epoch 0243 | avg_token_loss: 3.2941 | ppl: 26.95
Epoch 0244 | avg_token_loss: 3.2915 | ppl: 26.88
Epoch 0245 | avg_token_loss: 3.2950 | ppl: 26.98
Epoch 0246 | avg_token_loss: 3.2938 | ppl: 26.95
Epoch 0247 | avg_token_loss: 3.2877 | ppl: 26.78
Epoch 0248 | avg_token_loss: 3.2914 | ppl: 26.88
Epoch 0249 | avg_token_loss: 3.2857 | ppl: 26.73
Epoch 0250 | avg_token_loss: 3.2892 | ppl: 26.82
Epoch 0251 | avg_token_loss: 3.2888 | ppl: 26.81
Epoch 0252 | avg_token_loss: 3.2896 | ppl: 26.83
Epoch 0253 | avg_token_loss: 3.2859 | ppl: 26.73
Epoch 0254 | avg_token_loss: 3.2862 | ppl: 26.74
Epoch 0255 | avg_token_loss: 3.2908 | ppl: 26.87
